Õº∆¨id1,Õº∆¨id2,æ‡¿Î
100000,100539,368.2364
100000,100377,374.20953
100000,100413,375.27982
100000,100385,378.2103
100000,100110,383.0191
100000,100172,387.64407
100000,100393,390.65878
100000,100761,391.1311
100000,100125,393.37225
100000,100126,396.04523
100000,100194,400.25275
100000,100090,402.31
100000,100884,403.52286
100000,100274,404.01282
100000,100790,407.86432
100000,100820,410.23047
100000,100650,410.6226
100000,100739,416.3415
100000,100050,417.11966
100001,100286,293.10178
100001,100798,313.3706
100001,100904,340.67242
100001,100600,345.28546
100001,100210,354.2373
100001,100839,363.38568
100001,100294,366.0811
100001,100026,369.34525
100001,100142,376.01093
100001,100885,384.90515
100001,100642,388.9961
100001,100757,402.7663
100001,100673,403.3335
100001,100816,408.94098
100001,100717,409.9901
100001,100874,424.04703
100001,100523,425.32764
100001,100385,425.40216
100001,100702,427.23035
100002,100368,313.62018
100002,100287,319.39954
100002,100290,324.23688
100002,100136,347.63687
100002,100562,348.00854
100002,100505,350.14996
100002,100615,350.56824
100002,100282,353.86108
100002,100914,354.9373
100002,100720,362.8754
100002,100050,367.59857
100002,100913,370.45837
100002,100322,371.50214
100002,100187,374.93384
100002,100432,377.62204
100002,100360,378.0005
100002,100617,378.6127
100002,100037,379.32904
100002,100546,381.0657
100003,100451,454.86243
100003,100651,457.03296
100003,100903,479.11792
100003,100602,483.65988
100003,100430,491.14136
100003,100944,494.38953
100003,100489,511.33344
100003,100309,528.3369
100003,100192,528.81384
100003,100380,531.0902
100003,100042,531.6101
100003,100346,535.89667
100003,100821,536.65686
100003,100955,537.59753
100003,100857,539.63184
100003,100645,544.4358
100003,100362,545.41345
100003,100939,549.85474
100003,100887,552.60156
100004,100021,362.71298
100004,100739,366.3491
100004,100526,372.57806
100004,100393,389.7534
100004,100413,390.66473
100004,100940,406.85474
100004,100295,408.2284
100004,100392,415.8998
100004,100699,423.6702
100004,100696,432.45392
100004,100805,435.53888
100004,100076,438.4027
100004,100000,439.44257
100004,100539,439.63034
100004,100291,443.705
100004,100277,446.49902
100004,100052,446.86053
100004,100270,448.10938
100004,100176,450.38202
100005,100140,402.78845
100005,100682,419.00586
100005,100838,420.82336
100005,100073,421.8764
100005,100384,425.24127
100005,100720,426.12842
100005,100535,440.38617
100005,100340,443.7032
100005,100085,452.53427
100005,100194,468.68405
100005,100041,470.06525
100005,100594,474.17578
100005,100757,475.47134
100005,100375,475.94342
100005,100483,476.3228
100005,100956,481.12958
100005,100790,483.46478
100005,100320,483.72018
100005,100438,487.21957
100006,100766,284.49036
100006,100237,315.24475
100006,100702,328.0084
100006,100025,329.84363
